author	book_name	number	status	type_
赵澎教教主	武侠镇传奇	50387	连载	现代异侠
东风破浪	震惊！我的徒弟居然是女帝	4781023	连载	东方玄幻
往复生还	谍海无名	721282	连载	谍战特工
云上南风	天子五行录	6135	连载	奇幻修真
虫儿非非	恶人队长	408535	连载	都市异能
二十七块九	重塑千禧年代	55169	连载	都市重生
中下马笃	雷武	15834209	连载	异界大陆
陌上工资	我的异世界大冒险	249871	连载	异界大陆
海露大户	七斋	27019	连载	历史武侠
圣玉	飞刀弱？可知小李飞刀，例无虚发	73747	连载	游戏异界
水色黎明	无上帝印	479069	连载	都市异能
心净	大清：从工业革命开始强国	12471534	连载	历史穿越
若水河畔淌流觞	全民：说好的奶妈，治疗能秒人？	539931	连载	都市异能
行者子木	花魂遗梦	90550	连载	历史传奇
二呆木	大明小神医，换血多尔衮！	210795	连载	历史穿越
道不易	九域凡仙	4336295	连载	东方玄幻
沈志伟	缆镇语录	1787254	连载	乡村乡土
我是雅人	惨死99世后摆烂，成千古一帝了	27028	连载	架空历史
冬瓜叔叔	都市超级医武狂少	37815	连载	都市异能
真的睡不够	我夫人竟是皇朝女帝	1896987	连载	东方玄幻
倚楼望明月	诗仙小贵婿	126869	连载	历史穿越
一个人喝醉	亮剑：我是谢宝庆	713387	连载	战史风云
魔法笔手	时局变	8147	连载	历史武侠
弹剑吟诗啸	疯狂农民工	10304279	连载	都市生活
一字长蛇飘飘阵	毕加索的交流	191334	连载	异术超能
悟碎	升仙斩道	112684	连载	奇幻修真
潘家三少	我酒醉后遇见你	62775	连载	都市生活
贩卖焦虑	洪荒：通天！你徒弟又作死	1394146	连载	洪荒封神
上策	民国：悬案大侦探	94502	连载	侦探推理
慧之	致灼灼如火的青春	165561	连载	校园风云
无聊玩玩啊	故意让人杀死自己	213720	连载	异界大陆
小峰阳	风云傲雪	136550	连载	古典仙侠
勤劳的零十一	玄天帝神	147212	连载	东方玄幻
可乐味炸鸡	恋综上摆烂后，被国民女神倒追	453815	连载	娱乐明星
风雪云中路	定河山	5053986	连载	架空历史
平凡魔术师	九星霸体诀	15363235	连载	异界大陆
无聊玩玩啊	故意让人杀死自己	213720	连载	异界大陆
小峰阳	风云傲雪	136550	连载	古典仙侠
勤劳的零十一	玄天帝神	147212	连载	东方玄幻
可乐味炸鸡	恋综上摆烂后，被国民女神倒追	453815	连载	娱乐明星
风雪云中路	定河山	5053986	连载	架空历史
金牛断章本尊	一品神卜	1941445	连载	都市异能
平凡魔术师	九星霸体诀	15363235	连载	异界大陆
王那个谁	富家公子游山玩水当皇帝	27969	连载	历史武侠
缺月挂梧桐	仙是这么修的	75383	连载	古典仙侠
水冷酒家	天师下山，我被美女师姐包围了	20181	连载	都市异能
散发妖气的妲己	狱中七天	95382	连载	都市生活
东幻魔辰	迪风奥特曼	20578	连载	都市异能
神魔沽傲.	回忆频频扰	744245	连载	乡村乡土
古稀之	道武敌	40391	连载	东方玄幻
小爱的马先生	我死后，前妻痛哭，白月光后悔	40606	连载	都市生活
摸鱼是工作	天炼仙骨	328253	连载	东方玄幻
一只兔子啊	宗门里除了我都是卧底	1996432	连载	东方玄幻
狂剑书生	花落经年	21541	连载	现实题材
落樱零玖	守护在那遥远的骑士	370163	连载	古武机甲
血沃中华	开局一把刀，狂扫八荒	30751	连载	历史穿越
柴玉关	武道天通	745540	连载	东方玄幻
张无忍	收尸档案	1824462	连载	民间奇谈
不冷的天堂	末世神魔录	11610415	连载	末世危机
梁下君子皓如月	没有前世的我，只好成为在世剑仙	451719	连载	现代修真
不吐葡萄皮	官道权术：下派后问鼎仕途巅峰！	11590	连载	都市生活
家里有块地	离婚后，我神医身份曝光了！	728977	连载	都市生活
夜无声	让你当收尸人，你直接解刨了前女友	591595	连载	民间奇谈
贱名好养活	成年那天，百人献祭请我出村	47852	连载	民间奇谈
黑衣守夜人	剑与魔法之歌	1386486	连载	西方奇幻
叶子的耶	逆斩为仙	17264	连载	东方玄幻
长弓挽月	三国：开局接盘刘备，再造大汉王朝	1047868	连载	历史穿越
倾世人妖	无限天乩	2925735	连载	未来幻想
詹立君	舍你不成仙	601526	完本	东方玄幻
湘仔漂岭南	异世仙缘传	22145	连载	古典仙侠
子轩弘文	九州承剑录	2006	连载	东方玄幻
草庐里的茶	我生在宇宙大爆炸之前	2273794	连载	东方玄幻
什么样的井盖	体修弱？我靠炼体镇压万古	127730	连载	东方玄幻
小白菜	被美女包围的日子	89379	连载	都市生活
一页非常瓜	末世：改崩爆率，我杀敌能爆装备	106257	连载	末世危机
精甚细腻	未知的终点	644885	连载	西方奇幻
东方之朱	一剑梦江湖	19920	连载	古典仙侠
黑的蚂蚁	大秦：我靠读书入圣，开局召唤大雪龙骑！	2850634	连载	架空历史
精甚细腻	超过	1147227	连载	西方奇幻
逍遥自在爱	魔域现世	20158	连载	虚拟网游
文小书	异界之修仙传	438479	连载	异界大陆
我要赚个小目标	吞仙	755096	连载	东方玄幻
